Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands,Defaulter_Flag
150024,24,5,1,M,Married,203.3195946,0
144880,31,,1,F,Single,402.1973024,1
133742,56,37,1,m,Married,553.1320959,1
151282,52,31,1,F,Married,292.4305792,0
174407,20,3,1,M,Single,246.5405761,0
142548,29,8,1,M,Married,384.6763948,1
,36,19,1,F,Single,462.1588562,1
,67,49,1,F,Married,168.9340361,0
137434,69,48,1,M,Single,69.89304091,0
192628,16,0,1,F,Single,242.7725761,0
154894,19,1,1,M,Single,763.7298567,1
187293,29,8,1,F,Single,407.3893742,1
192628,16,0,1,F,Single,242.7725761,0
192628,16,0,1,F,Single,242.7725761,0
154894,19,1,1,M,Single,763.7298567,1
154894,19,1,1,m,Single,763.7298567,1
187293,29,8,1,F,Single,407.3893742,1
192628,16,0,1,F,Single,242.7725761,0
192628,16,0,1,F,Single,242.7725761,0
154894,19,1,1,M,Single,763.7298567,1
154894,19,1,1,M,Single,763.7298567,1
187293,29,8,1,F,Single,407.3893742,1
192628,16,0,1,F,Single,242.7725761,0
192628,16,0,1,F,Single,242.7725761,0
154894,19,1,1,M,Single,763.7298567,1
187293,29,8,1,F,Single,407.3893742,1
173214,20,1,1,F,Married,161.5795211,0
163905,67,49,1,m,Married,242.8887756,0
157356,46,27,1,M,Married,358.521705,1
160387,57,40,1,M,Married,314.6620972,1
127360,65,48,1,M,Single,306.7395011,1
108345,20,1,1,M,Single,772.6448203,1
122164,67,49,1,M,Single,593.4274113,1
103555,62,45,1,M,Married,275.2144091,0
165177,44,27,1,F,Single,472.5998112,1
140896,17,0,1,M,Single,877.0778833,1
197555,29,10,1,F,Single,825.2772277,1
198709,66,49,1,F,Single,273.1567349,0
155134,22,3,1,F,Single,220.6385329,0
104183,33,16,1,M,Single,169.3764585,0
131927,69,48,1,F,Married,98.07355841,0
146242,39,22,1,M,Married,680.1630093,1
138988,41,22,1,F,Married,210.312302,0
102189,20,2,1,F,Married,354.1103301,1
128861,68,49,1,F,Married,155.7208447,0
,31,12,1,M,Married,670.8921754,1
,30,13,1,M,Single,446.7508297,1
,64,47,1,M,Married,109.0263426,0
,68,47,1,F,Married,119.7330443,0
171105,49,30,1,M,Single,454.8247336,1
152298,23,4,1,M,Single,845.7592784,1
196222,50,32,1,M,Single,274.3142835,0
197889,39,18,1,F,Single,791.135206,1
109945,35,14,1,F,Single,355.2515755,1
120208,38,20,1,M,Married,522.8312209,1
144803,66,47,1,M,Single,347.0821846,1
167746,58,39,1,F,Single,381.7477309,1
140463,25,6,1,M,Single,747.5273873,1
193913,45,26,1,M,Married,391.2383998,1
193219,48,29,1,M,Married,330.1933096,1
196673,18,1,1,M,Single,904.8401349,1
101665,40,19,1,F,Single,387.4851589,1
152722,17,0,1,M,Married,481.5460256,1
181720,32,12,1,M,Married,178.4623223,0
196090,25,6,1,M,Married,597.4422021,1
137351,56,36,1,M,Single,448.7108596,1
116625,67,47,1,f,Married,218.5837842,0
120268,60,41,1,F,Married,227.6644878,0
181439,60,41,1,F,Single,720.2641611,1
182975,16,0,1,M,Single,950.9628027,1
119576,42,21,1,M,Single,368.9411753,1
101760,20,1,1,F,Married,191.4841522,0
124401,40,19,1,M,Single,503.3720137,1
132104,16,0,1,M,Married,264.7891684,0
185013,70,51,1,M,Single,341.9072784,1
118353,20,3,1,F,Married,204.9823703,0
157903,28,9,1,M,Single,707.3793245,1
114055,28,10,1,F,Single,865.1666105,1
174077,20,2,1,F,Married,435.088519,1
155060,22,3,1,M,Single,1095.601585,1
151384,20,2,1,M,Married,373.3754632,1
127729,64,47,1,f,Married,48.01445411,0
198511,44,25,1,F,Single,447.2328034,1
153908,17,0,1,M,Single,665.4768153,1
169358,22,4,1,M,Married,316.9985022,1
108996,61,40,1,M,Single,388.6544422,1
140129,22,4,1,F,Single,405.6484005,1
198046,60,42,1,F,Single,46.01271223,0
149010,17,0,1,M,Married,354.6611912,1
151476,17,0,1,F,Single,296.8081537,0
136743,63,43,1,F,Single,217.1205792,0
171560,41,20,1,M,Married,375.6052838,1
146306,65,48,1,M,Single,25.88680711,0
111448,26,7,1,F,Married,606.3573767,1
149440,59,42,1,M,Single,351.1678295,1
122855,66,45,1,F,Married,15.5892684,0
162634,29,8,1,M,Single,738.9508303,1
187253,21,2,1,F,Married,183.0600479,0
156505,21,3,1,M,Married,311.353198,1
115303,64,46,1,F,Married,260.2725911,0
157222,36,17,1,F,Married,322.0024982,1
163555,46,27,1,M,Single,596.3227132,1
138553,60,42,1,M,Married,162.3570971,0
185458,25,8,1,M,Married,525.0439169,1
102319,47,30,1,F,Married,329.6301926,1
140871,24,6,1,M,Single,413.8328632,1
132547,40,23,1,M,Married,593.2666445,1
198278,21,2,1,F,Single,411.5067461,1
110208,35,16,1,F,Single,394.9982853,1
160827,70,53,1,F,Married,59.00575916,0
183596,48,27,1,M,Single,574.8216925,1
130589,62,44,1,F,Single,84.75366158,0
103014,50,29,1,M,Single,552.2467274,1
188352,67,50,1,M,Single,78.38607932,0
161398,54,34,1,Z,Married,314.085069,1
147805,25,8,1,M,Single,3500,1
190621,16,0,1,M,Single,3250,1
161675,66,48,1,M,Single,2850,1
165974,63,43,1,F,Single,2534.63946,1
152551,52,34,1,M,Married,2852.18873,1
142085,25,7,1,F,Married,2879.067137,1
191297,38,20,1,F,Married,2814.312522,1
164185,25,6,1,F,Single,2879.176458,1
122992,50,32,1,F,Single,3462.340629,1
110488,35,15,1,M,Single,3332.771801,1
111434,64,45,1,F,Single,3226.612176,1
176699,68,49,1,v,Married,235.1357629,0
157408,63,45,1,F,Married,60.82862632,0
104797,24,7,1,M,Single,750.7435809,1
167022,,,1,v,Married,314.6819894,1
112619,17,0,1,M,Single,1197.444316,1
178782,16,0,1,F,Single,610.5008673,1
130506,,1,1,v,,,0
173005,58,38,1,F,Married,284.2330566,0
196406,50,33,1,M,Married,142.5319857,0
151636,58,37,1,M,Single,443.1218792,1
119860,23,5,1,M,Single,1086.924905,1
100079,20,3,1,M,Married,681.5827516,1
135252,52,35,1,M,Married,268.5415695,0
145276,36,16,1,M,Married,429.8250505,1
157539,37,16,1,F,Single,217.9595747,0
178158,61,40,1,F,Married,287.7680412,0
153763,29,11,1,F,Married,387.1689797,1
184637,21,2,1,F,Single,233.2261935,0
129471,22,4,1,F,Married,296.220441,0
172740,31,13,1,F,Single,381.6263384,1
170777,60,42,1,M,Single,97.82479138,0
140244,44,25,1,F,Single,427.346936,1
149411,16,0,1,M,Single,534.6193671,1
155380,18,1,1,F,Married,322.9551348,1
128261,66,47,1,M,Married,313.1380724,1
